created_at,field1,field2,field3,field4
2021-12-06T22:57:14+00:00,1559,345,376,295
2021-12-06T22:57:37+00:00,1558,332,370,265
2021-12-06T22:57:59+00:00,1557,334,365,297
2021-12-06T22:58:22+00:00,1559,334,384,241
2021-12-06T22:58:44+00:00,1559,342,388,291
2021-12-06T22:59:06+00:00,1558,332,375,263
2021-12-06T22:59:29+00:00,1559,333,354,257
2021-12-06T22:59:51+00:00,1557,331,384,292
2021-12-06T23:00:13+00:00,1558,332,349,284
2021-12-06T23:00:36+00:00,1557,341,389,297
2021-12-06T23:00:58+00:00,1559,333,359,257
2021-12-06T23:01:21+00:00,1559,340,368,257
2021-12-06T23:01:43+00:00,1558,336,378,287
2021-12-06T23:02:05+00:00,1559,335,376,286
2021-12-06T23:02:28+00:00,1557,335,377,287
2021-12-06T23:02:50+00:00,1555,333,355,284
2021-12-06T23:03:13+00:00,1554,350,386,257
2021-12-06T23:03:35+00:00,1556,335,360,296
2021-12-06T23:03:57+00:00,1553,335,376,286
2021-12-06T23:04:20+00:00,1555,332,351,293
2021-12-06T23:04:42+00:00,1556,330,351,297
2021-12-06T23:05:04+00:00,1554,335,374,275
2021-12-06T23:05:27+00:00,1555,333,383,258
2021-12-06T23:05:49+00:00,1553,342,374,284
2021-12-06T23:06:12+00:00,1556,334,374,285
2021-12-06T23:06:34+00:00,1555,334,348,276
2021-12-06T23:06:56+00:00,1557,330,347,254
2021-12-06T23:07:19+00:00,1554,333,354,242
2021-12-06T23:07:41+00:00,1554,339,372,293
2021-12-06T23:08:04+00:00,1553,331,355,283
2021-12-06T23:08:26+00:00,1556,332,346,260
2021-12-06T23:08:48+00:00,1555,337,370,261
2021-12-06T23:09:11+00:00,1554,344,360,255
2021-12-06T23:09:33+00:00,1554,336,371,282
2021-12-06T23:09:55+00:00,1556,328,384,253
2021-12-06T23:10:18+00:00,1555,330,343,242
2021-12-06T23:10:40+00:00,1555,330,346,268
2021-12-06T23:11:02+00:00,1556,330,361,289
2021-12-06T23:11:25+00:00,1555,339,354,290
2021-12-06T23:11:47+00:00,1556,326,377,280
2021-12-06T23:12:10+00:00,1557,330,360,252
2021-12-06T23:12:32+00:00,1558,330,342,254
2021-12-06T23:12:55+00:00,1556,331,362,285
2021-12-06T23:13:17+00:00,1555,330,353,280
2021-12-06T23:13:40+00:00,1557,327,358,269
2021-12-06T23:14:02+00:00,1558,341,369,236
2021-12-06T23:14:24+00:00,1555,330,367,256
2021-12-06T23:14:47+00:00,1557,329,368,280
2021-12-06T23:15:09+00:00,1555,338,388,290
2021-12-06T23:15:31+00:00,1557,329,367,260
2021-12-06T23:15:54+00:00,1557,341,363,292
2021-12-06T23:16:16+00:00,1557,330,368,251
2021-12-06T23:16:38+00:00,1557,338,370,284
2021-12-06T23:17:01+00:00,1557,330,358,287
2021-12-06T23:17:23+00:00,1557,327,342,256
2021-12-06T23:17:46+00:00,1562,329,366,252
2021-12-06T23:18:08+00:00,1559,339,367,280
2021-12-06T23:18:31+00:00,1557,330,363,284
2021-12-06T23:18:53+00:00,1554,329,377,280
2021-12-06T23:19:15+00:00,1558,330,360,280
2021-12-06T23:19:38+00:00,1559,327,382,272
2021-12-06T23:20:00+00:00,1558,335,357,251
2021-12-06T23:20:22+00:00,1553,345,374,291
2021-12-06T23:20:45+00:00,1557,327,342,277
2021-12-06T23:21:08+00:00,1558,330,343,245
2021-12-06T23:21:30+00:00,1557,331,369,276
2021-12-06T23:21:52+00:00,1557,329,369,252
2021-12-06T23:22:15+00:00,1557,332,370,282
2021-12-06T23:22:37+00:00,1558,331,344,243
2021-12-06T23:23:00+00:00,1558,335,364,284
2021-12-06T23:23:22+00:00,1557,349,365,283
2021-12-06T23:23:44+00:00,1559,339,390,306
2021-12-06T23:24:07+00:00,1556,339,365,280
2021-12-06T23:24:29+00:00,1558,340,381,244
2021-12-06T23:24:51+00:00,1558,337,378,282
2021-12-06T23:25:14+00:00,1559,338,378,248
2021-12-06T23:25:36+00:00,1557,339,391,294
2021-12-06T23:25:59+00:00,1561,341,382,299
