,date,time,light_on,light_colormode,light_bri,light_hue,light_sat,light_xy,light_ct
0,06/12/2021,23:52,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
1,06/12/2021,23:53,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
2,06/12/2021,23:55,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
3,06/12/2021,23:56,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
4,06/12/2021,23:58,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
5,06/12/2021,23:59,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
6,07/12/2021,00:01,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
7,07/12/2021,00:02,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
8,07/12/2021,00:04,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
9,07/12/2021,00:05,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
10,07/12/2021,00:07,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
11,07/12/2021,00:08,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
12,07/12/2021,00:10,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
13,07/12/2021,00:11,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
14,07/12/2021,00:13,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
15,07/12/2021,00:14,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
16,07/12/2021,00:16,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
17,07/12/2021,00:17,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
18,07/12/2021,00:19,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
19,07/12/2021,00:20,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
20,07/12/2021,00:22,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
21,07/12/2021,00:23,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
22,07/12/2021,00:25,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
23,07/12/2021,00:26,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
24,07/12/2021,00:28,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
25,07/12/2021,00:29,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
26,07/12/2021,00:31,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
27,07/12/2021,00:32,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
28,07/12/2021,00:34,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
29,07/12/2021,00:35,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
30,07/12/2021,00:37,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
31,07/12/2021,00:38,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
32,07/12/2021,00:40,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
33,07/12/2021,00:41,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
34,07/12/2021,00:43,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
35,07/12/2021,00:44,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
36,07/12/2021,00:46,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
37,07/12/2021,00:47,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
38,07/12/2021,00:49,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
39,07/12/2021,00:50,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
40,07/12/2021,00:52,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
41,07/12/2021,00:53,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
42,07/12/2021,00:55,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
43,07/12/2021,00:56,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
44,07/12/2021,00:58,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
45,07/12/2021,00:59,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
46,07/12/2021,01:01,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
47,07/12/2021,01:02,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
48,07/12/2021,01:04,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
49,07/12/2021,01:05,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
50,07/12/2021,01:07,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
51,07/12/2021,01:08,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
52,07/12/2021,01:10,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
53,07/12/2021,01:11,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
54,07/12/2021,01:13,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
55,07/12/2021,01:14,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
56,07/12/2021,01:16,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
57,07/12/2021,01:17,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
58,07/12/2021,01:19,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
59,07/12/2021,01:20,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
60,07/12/2021,01:22,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
61,07/12/2021,01:23,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
62,07/12/2021,01:25,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
63,07/12/2021,01:26,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
64,07/12/2021,01:28,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
65,07/12/2021,01:29,TRUE,xy,254,39392,13,"[0.3691, 0.3719]",230
